inverter_id,st,pv,mppt,north,east,lat,lon,elev_m,slope_deg,aspect_deg,cross_slope_deg,plane_rms_m,table_east,table_north,table_lat,table_lon
WB01-INV08,15,15,8,9890139.629,459521.074,-0.9939201,116.6361742,73.07,13.284,5.2,1.23,0.24,459522.247,9890141.273,-0.9939052,116.6361847
WB01-INV08,16,16,8,9890154.174,459536.611,-0.9937885,116.6363139,72.45,10.608,7.5,1.4,0.271,459537.847,9890155.809,-0.9937737,116.636325
WB01-INV08,17,17,9,9890146.938,459536.621,-0.993854,116.6363139,72.76,12.764,8.5,1.92,0.285,459537.847,9890148.541,-0.9938395,116.636325
WB01-INV08,18,18,9,9890139.688,459536.675,-0.9939196,116.6363144,73.18,12.683,3.9,0.88,0.279,459537.847,9890141.273,-0.9939052,116.636325
WB01-INV09,1,1,1,9890134.005,459459.847,-0.9939709,116.6356239,73.78,10.239,7.8,1.4,0.184,459459.847,9890134.005,-0.9939709,116.6356239
WB01-INV09,2,2,1,9890126.737,459459.847,-0.9940366,116.6356239,74.29,10.902,3.6,0.69,0.102,459459.847,9890126.737,-0.9940366,116.6356239
WB01-INV09,3,3,2,9890119.469,459459.847,-0.9941024,116.6356239,75.35,10.596,7.5,1.4,0.189,459459.847,9890119.469,-0.9941024,116.6356239
WB01-INV09,4,4,2,9890112.201,459459.847,-0.9941681,116.6356239,76.42,12.835,7.3,1.66,0.274,459459.847,9890112.201,-0.9941681,116.6356239
WB01-INV09,5,5,3,9890134.005,459475.447,-0.9939709,116.6357641,73.78,10.942,7.9,1.52,0.254,459475.447,9890134.005,-0.9939709,116.6357641
WB01-INV09,6,6,3,9890126.737,459475.447,-0.9940367,116.6357641,74.26,10.914,3.0,0.58,0.125,459475.447,9890126.737,-0.9940367,116.6357641
WB01-INV09,7,7,4,9890119.469,459475.447,-0.9941024,116.6357641,75.07,11.208,4.8,0.95,0.19,459475.447,9890119.469,-0.9941024,116.6357641
WB01-INV09,8,8,4,9890112.201,459475.447,-0.9941682,116.6357641,76.07,13.517,4.1,0.98,0.301,459475.447,9890112.201,-0.9941682,116.6357641
WB01-INV09,9,9,5,9890134.005,459491.047,-0.9939709,116.6359043,73.61,9.87,8.6,1.49,0.246,459491.047,9890134.005,-0.9939709,116.6359043
WB01-INV09,10,10,5,9890126.737,459491.047,-0.9940367,116.6359043,74.31,9.925,7.1,1.24,0.249,459491.047,9890126.737,-0.9940367,116.6359043
WB01-INV09,11,11,6,9890119.469,459491.047,-0.9941024,116.6359043,75.05,10.884,4.8,0.92,0.199,459491.047,9890119.469,-0.9941024,116.6359043
WB01-INV09,12,12,6,9890112.201,459491.047,-0.9941682,116.6359043,75.82,11.77,3.2,0.67,0.244,459491.047,9890112.201,-0.9941682,116.6359043
WB01-INV09,13,13,7,9890134.005,459506.647,-0.9939709,116.6360445,73.42,11.105,9.9,1.93,0.299,459506.647,9890134.005,-0.9939709,116.6360445
WB01-INV09,14,14,7,9890126.737,459506.647,-0.9940367,116.6360445,74.11,9.751,12.9,2.2,0.329,459506.647,9890126.737,-0.9940367,116.6360445
WB01-INV09,15,15,8,9890119.469,459506.647,-0.9941024,116.6360445,74.85,10.384,12.0,2.18,0.362,459506.647,9890119.469,-0.9941024,116.6360445
WB01-INV09,16,16,8,9890112.201,459506.647,-0.9941682,116.6360445,75.68,12.437,12.1,2.65,0.413,459506.647,9890112.201,-0.9941682,116.6360445
WB01-INV09,17,17,9,9890134.005,459522.247,-0.9939709,116.6361847,73.1,11.088,6.7,1.31,0.202,459522.247,9890134.005,-0.9939709,116.6361847
WB01-INV09,18,18,9,9890134.005,459537.847,-0.993971,116.6363249,73.25,11.643,4.9,1.01,0.252,459537.847,9890134.005,-0.993971,116.6363249
WB01-INV10,1,1,1,9890104.933,459459.847,-0.9942339,116.6356239,76.97,11.746,5.9,1.22,0.219,459459.847,9890104.933,-0.9942339,116.6356239
WB01-INV10,2,2,1,9890097.665,459459.847,-0.9942997,116.6356239,77.46,11.578,6.4,1.31,0.21,459459.847,9890097.665,-0.9942997,116.6356239
WB01-INV10,3,3,2,9890090.397,459459.847,-0.9943654,116.6356238,78.46,11.606,6.3,1.29,0.221,459459.847,9890090.397,-0.9943654,116.6356238
